bay_id,st_marker_id,status,location,lat,lon
5912,C9088,Unoccupied,"(-37.80295328839999, 144.96776519274866)",-37.80295328839999,144.96776519274866
5519,11971W,Unoccupied,"(-37.81453171425345, 144.98273230770295)",-37.81453171425345,144.98273230770295
5389,11744E,Unoccupied,"(-37.810283032684495, 144.97566159235552)",-37.810283032684495,144.97566159235552
8966,7865W,Unoccupied,"(-37.82640009326216, 144.97106667324073)",-37.82640009326216,144.97106667324073
8972,7877W,Unoccupied,"(-37.825633474274696, 144.97086905082563)",-37.825633474274696,144.97086905082563
5717,12388N,Unoccupied,"(-37.810697497599946, 144.97613294712625)",-37.810697497599946,144.97613294712625
5917,12804N,Unoccupied,"(-37.802795489126595, 144.96721631450913)",-37.802795489126595,144.96721631450913
5607,12233S,Unoccupied,"(-37.8095064011665, 144.9744578243005)",-37.8095064011665,144.9744578243005
5603,12225S,Unoccupied,"(-37.80946965054932, 144.97412757656707)",-37.80946965054932,144.97412757656707
4271,C6878,Unoccupied,"(-37.80937358030814, 144.95585125657686)",-37.80937358030814,144.95585125657686
5568,12069W,Unoccupied,"(-37.81183781077067, 144.98318875471043)",-37.81183781077067,144.98318875471043
5821,12570N,Unoccupied,"(-37.81587181680066, 144.98148603607405)",-37.81587181680066,144.98148603607405
8962,7857W,Unoccupied,"(-37.82661459712314, 144.97110095206216)",-37.82661459712314,144.97110095206216
8318,12066E,Unoccupied,"(-37.80948443822311, 144.98381797003572)",-37.80948443822311,144.98381797003572
5731,12416N,Present,"(-37.81086362447625, 144.97766052142163)",-37.81086362447625,144.97766052142163
8999,C7810,Unoccupied,"(-37.82564473878949, 144.97104026378582)",-37.82564473878949,144.97104026378582
5347,8875W,Unoccupied,"(-37.825353797628004, 144.9606383154937)",-37.825353797628004,144.9606383154937
5762,12441S,Unoccupied,"(-37.811944023782885, 144.97568499510572)",-37.811944023782885,144.97568499510572
5554,12041W,Unoccupied,"(-37.812567426593496, 144.98306706076198)",-37.812567426593496,144.98306706076198
1838,2529S,Unoccupied,"(-37.81171009882618, 144.9680968607801)",-37.81171009882618,144.9680968607801
6136,C13648,Unoccupied,"(-37.81978379152755, 144.94397996203182)",-37.81978379152755,144.94397996203182
3265,5822E,Unoccupied,"(-37.80687465816447, 144.9535021664006)",-37.80687465816447,144.9535021664006
946,C790,Unoccupied,"(-37.81157057108945, 144.96753234404272)",-37.81157057108945,144.96753234404272
5829,12545S,Unoccupied,"(-37.81596396837868, 144.98061896478418)",-37.81596396837868,144.98061896478418
5904,C9056,Unoccupied,"(-37.802921762392366, 144.96747839029825)",-37.802921762392366,144.96747839029825
5761,12439S,Unoccupied,"(-37.81193637715751, 144.97561571940406)",-37.81193637715751,144.97561571940406
5822,12531S,Unoccupied,"(-37.81591260602434, 144.98015121969343)",-37.81591260602434,144.98015121969343
5528,11989W,Unoccupied,"(-37.81406523305979, 144.98281190574397)",-37.81406523305979,144.98281190574397
5820,12568N,Unoccupied,"(-37.81586448563712, 144.98141868728942)",-37.81586448563712,144.98141868728942
5767,12451S,Present,"(-37.811998362497285, 144.9761823289095)",-37.811998362497285,144.9761823289095
5842,12571S,Unoccupied,"(-37.81606708418995, 144.98155199986667)",-37.81606708418995,144.98155199986667
4036,C6110,Unoccupied,"(-37.80468600562186, 144.95234559605683)",-37.80468600562186,144.95234559605683
4370,C7174,Unoccupied,"(-37.80741375196129, 144.95321945888054)",-37.80741375196129,144.95321945888054
4309,C6954,Unoccupied,"(-37.80925037904049, 144.95601475961075)",-37.80925037904049,144.95601475961075
5833,12553S,Unoccupied,"(-37.81599647120727, 144.98091417073698)",-37.81599647120727,144.98091417073698
3026,5121W,Present,"(-37.80341088444709, 144.95713839031447)",-37.80341088444709,144.95713839031447
5890,C9000,Unoccupied,"(-37.8028519401346, 144.96684307221085)",-37.8028519401346,144.96684307221085
3606,7554N,Present,"(-37.80598354787373, 144.95884461925414)",-37.80598354787373,144.95884461925414
5883,12914N,Present,"(-37.79839303700173, 144.96551372538534)",-37.79839303700173,144.96551372538534
5770,12457S,Unoccupied,"(-37.81202093776078, 144.97638779659894)",-37.81202093776078,144.97638779659894
5550,12033W,Unoccupied,"(-37.8128246263403, 144.98302441993522)",-37.8128246263403,144.98302441993522
5397,11760E,Unoccupied,"(-37.81002289302269, 144.97570474403477)",-37.81002289302269,144.97570474403477
5540,12013W,Unoccupied,"(-37.813342544457015, 144.98293623034903)",-37.813342544457015,144.98293623034903
5526,11985W,Unoccupied,"(-37.81416868420777, 144.9827942083191)",-37.81416868420777,144.9827942083191
5749,12436N,Present,"(-37.81182447430852, 144.97563353553048)",-37.81182447430852,144.97563353553048
8325,12111W,Present,"(-37.80990841655152, 144.9835105942471)",-37.80990841655152,144.9835105942471
4335,C7008,Present,"(-37.80924430645762, 144.95641336062138)",-37.80924430645762,144.95641336062138
8978,7889W,Unoccupied,"(-37.82530114811314, 144.97074653319035)",-37.82530114811314,144.97074653319035
4611,8341W,Unoccupied,"(-37.824185509367624, 144.96843740980995)",-37.824185509367624,144.96843740980995
8133,15166N,Unoccupied,"(-37.81661337143654, 144.9809619187024)",-37.81661337143654,144.9809619187024
8998,C7806,Unoccupied,"(-37.82569968834423, 144.97105816472444)",-37.82569968834423,144.97105816472444
5509,11951W,Unoccupied,"(-37.81504652097266, 144.98264459820194)",-37.81504652097266,144.98264459820194
5835,12557S,Present,"(-37.816014572676195, 144.9810797335309)",-37.816014572676195,144.9810797335309
5491,12042E,Present,"(-37.81253567407869, 144.98330804701277)",-37.81253567407869,144.98330804701277
3604,7552N,Present,"(-37.80596466609564, 144.9589088869089)",-37.80596466609564,144.9589088869089
5894,C9016,Unoccupied,"(-37.80286903189891, 144.96699877834774)",-37.80286903189891,144.96699877834774
5346,8873W,Unoccupied,"(-37.82539182057477, 144.9605934088404)",-37.82539182057477,144.9605934088404
8973,7879W,Unoccupied,"(-37.82557774456435, 144.9708503748579)",-37.82557774456435,144.9708503748579
5518,11969W,Unoccupied,"(-37.814583043445566, 144.98272347942634)",-37.814583043445566,144.98272347942634
3860,C5616,Unoccupied,"(-37.80721481684331, 144.9549108590483)",-37.80721481684331,144.9549108590483
5556,12045W,Unoccupied,"(-37.812465971039046, 144.98308392926054)",-37.812465971039046,144.98308392926054
8835,8509W,Unoccupied,"(-37.82282023955067, 144.96749621697455)",-37.82282023955067,144.96749621697455
9004,C7830,Unoccupied,"(-37.82537047463681, 144.9709483601462)",-37.82537047463681,144.9709483601462
4041,C6120,Unoccupied,"(-37.8045629730273, 144.95236769001846)",-37.8045629730273,144.95236769001846
5522,11977W,Unoccupied,"(-37.81437468978826, 144.98275918545454)",-37.81437468978826,144.98275918545454
3507,6660N,Present,"(-37.80860246469753, 144.95857092037357)",-37.80860246469753,144.95857092037357
5730,12414N,Unoccupied,"(-37.81085653328952, 144.97759520657974)",-37.81085653328952,144.97759520657974
6190,13270N,Present,"(-37.82016441447789, 144.94235971345913)",-37.82016441447789,144.94235971345913
8323,12107W,Unoccupied,"(-37.810012000580045, 144.98349324243753)",-37.810012000580045,144.98349324243753
5493,12046E,Unoccupied,"(-37.812337421022605, 144.98334238469334)",-37.812337421022605,144.98334238469334
5444,11840E,Unoccupied,"(-37.81301337531695, 144.97790603722422)",-37.81301337531695,144.97790603722422
2661,10168E,Unoccupied,"(-37.804416546517615, 144.94947831042316)",-37.804416546517615,144.94947831042316
2234,3918N,Unoccupied,"(-37.812085652084235, 144.9550140018767)",-37.812085652084235,144.9550140018767
5831,12549S,Unoccupied,"(-37.81598145514784, 144.9807774962766)",-37.81598145514784,144.9807774962766
5525,11983W,Unoccupied,"(-37.814219999526756, 144.982785460789)",-37.814219999526756,144.982785460789
3027,5123W,Present,"(-37.803363543058055, 144.95711639661)",-37.803363543058055,144.95711639661
4308,C6952,Unoccupied,"(-37.8092757883083, 144.95607346019614)",-37.8092757883083,144.95607346019614
4382,C7198,Unoccupied,"(-37.80759513257981, 144.95284607059398)",-37.80759513257981,144.95284607059398
2650,10141W,Unoccupied,"(-37.80250501262054, 144.94809301745207)",-37.80250501262054,144.94809301745207
5446,11844E,Unoccupied,"(-37.81290967032932, 144.97792343027936)",-37.81290967032932,144.97792343027936
3686,7646N,Unoccupied,"(-37.80500159217506, 144.95712214565845)",-37.80500159217506,144.95712214565845
5536,12005W,Unoccupied,"(-37.81355041343346, 144.98290011748566)",-37.81355041343346,144.98290011748566
5756,12450N,Unoccupied,"(-37.81192570588628, 144.97656464025124)",-37.81192570588628,144.97656464025124
3275,5834E,Present,"(-37.806668087276925, 144.9535383082356)",-37.806668087276925,144.9535383082356
4032,C6102,Unoccupied,"(-37.80478102145965, 144.9523285559688)",-37.80478102145965,144.9523285559688
5834,12555S,Present,"(-37.81600397738242, 144.98098276323154)",-37.81600397738242,144.98098276323154
3040,5143W,Present,"(-37.80295473347809, 144.95692438957946)",-37.80295473347809,144.95692438957946
3359,6051W,Present,"(-37.80615235713561, 144.95196907814835)",-37.80615235713561,144.95196907814835
3663,7622N,Unoccupied,"(-37.804984510900766, 144.9487256136694)",-37.804984510900766,144.9487256136694
5725,12404N,Unoccupied,"(-37.81075417518851, 144.9766552194074)",-37.81075417518851,144.9766552194074
8123,15146N,Present,"(-37.816686653828086, 144.98164638908594)",-37.816686653828086,144.98164638908594
3028,5125W,Present,"(-37.80331620166535, 144.95709440292953)",-37.80331620166535,144.95709440292953
4398,C7230,Unoccupied,"(-37.807846347777684, 144.9523287050182)",-37.807846347777684,144.9523287050182
5391,11748E,Unoccupied,"(-37.810217965782726, 144.9756724717453)",-37.810217965782726,144.9756724717453
5759,12435S,Unoccupied,"(-37.81191989668511, 144.9754660500313)",-37.81191989668511,144.9754660500313
5398,11762E,Present,"(-37.809990366890844, 144.97571012254173)",-37.809990366890844,144.97571012254173
5507,11947W,Unoccupied,"(-37.81514995297523, 144.98262700920668)",-37.81514995297523,144.98262700920668
5392,11750E,Unoccupied,"(-37.81018552636626, 144.97567785085207)",-37.81018552636626,144.97567785085207
3263,5818E,Unoccupied,"(-37.806921048807496, 144.95349392731026)",-37.806921048807496,144.95349392731026
5542,12017W,Unoccupied,"(-37.81323985591021, 144.98295410682363)",-37.81323985591021,144.98295410682363
4288,C6912,Unoccupied,"(-37.80918214379872, 144.95582412203683)",-37.80918214379872,144.95582412203683
4044,C6126,Present,"(-37.80449363067284, 144.9523802440605)",-37.80449363067284,144.9523802440605
5399,11764E,Unoccupied,"(-37.809957840308044, 144.9757155010556)",-37.809957840308044,144.9757155010556
5534,12001W,Unoccupied,"(-37.81365261265179, 144.98288282649173)",-37.81365261265179,144.98288282649173
5388,11742E,Unoccupied,"(-37.81031560329828, 144.97565625972442)",-37.81031560329828,144.97565625972442
5396,11758E,Unoccupied,"(-37.810055420054766, 144.97569936495483)",-37.810055420054766,144.97569936495483
3283,5848E,Unoccupied,"(-37.80650173373205, 144.9535676381809)",-37.80650173373205,144.9535676381809
5510,11953W,Unoccupied,"(-37.81499544968763, 144.98265330166902)",-37.81499544968763,144.98265330166902
5823,12533S,Unoccupied,"(-37.81591965830468, 144.98021528232428)",-37.81591965830468,144.98021528232428
5803,12534N,Unoccupied,"(-37.81573906594603, 144.98027397146186)",-37.81573906594603,144.98027397146186
5669,12336N,Unoccupied,"(-37.80987568569655, 144.9793561919218)",-37.80987568569655,144.9793561919218
5826,12539S,Unoccupied,"(-37.81594173624363, 144.98041689467863)",-37.81594173624363,144.98041689467863
3669,7628N,Unoccupied,"(-37.80497509749722, 144.94864127967384)",-37.80497509749722,144.94864127967384
5679,12335S,Unoccupied,"(-37.81001179316358, 144.97925548474626)",-37.81001179316358,144.97925548474626
5408,11751W,Unoccupied,"(-37.81034399941822, 144.97536559551864)",-37.81034399941822,144.97536559551864
5687,12351S,Unoccupied,"(-37.810070441749716, 144.97979226021312)",-37.810070441749716,144.97979226021312
888,816E,Present,"(-37.811246410797146, 144.9675098136646)",-37.811246410797146,144.9675098136646
3356,6044E,Unoccupied,"(-37.80611418666328, 144.95221261672373)",-37.80611418666328,144.95221261672373
8977,7887W,Unoccupied,"(-37.825356123790186, 144.97076928026326)",-37.825356123790186,144.97076928026326
6033,13077S,Present,"(-37.821270967232365, 144.94358696022024)",-37.821270967232365,144.94358696022024
5763,12443S,Unoccupied,"(-37.811967229561546, 144.97590028800312)",-37.811967229561546,144.97590028800312
4489,3664N,Unoccupied,"(-37.80845158856687, 144.96747637427103)",-37.80845158856687,144.96747637427103
5830,12547S,Unoccupied,"(-37.81597116437966, 144.9806842999829)",-37.81597116437966,144.9806842999829
5535,12003W,Unoccupied,"(-37.81360134858862, 144.9828915144626)",-37.81360134858862,144.9828915144626
5411,11782E,Unoccupied,"(-37.81114140680296, 144.97555535203242)",-37.81114140680296,144.97555535203242
5393,11752E,Unoccupied,"(-37.810152999336395, 144.9756832293735)",-37.810152999336395,144.9756832293735
5720,12394N,Unoccupied,"(-37.810718579554994, 144.97632719272056)",-37.810718579554994,144.97632719272056
5684,12345S,Unoccupied,"(-37.81004871301233, 144.97959215765601)",-37.81004871301233,144.97959215765601
5511,11955W,Unoccupied,"(-37.81494395394061, 144.98266205749468)",-37.81494395394061,144.98266205749468
5809,12546N,Present,"(-37.81578335137982, 144.98067858304387)",-37.81578335137982,144.98067858304387
5768,12453S,Unoccupied,"(-37.81200576717279, 144.97624765426804)",-37.81200576717279,144.97624765426804
4376,C7186,Unoccupied,"(-37.80750619198183, 144.95302924456635)",-37.80750619198183,144.95302924456635
5394,11754E,Unoccupied,"(-37.81012047365711, 144.97568860791415)",-37.81012047365711,144.97568860791415
8965,7863W,Unoccupied,"(-37.82645364094237, 144.9710761147205)",-37.82645364094237,144.9710761147205
5724,12402N,Unoccupied,"(-37.81074692454287, 144.97658841133554)",-37.81074692454287,144.97658841133554
4357,C7148,Unoccupied,"(-37.807070223002626, 144.9539228674356)",-37.807070223002626,144.9539228674356
4042,C6122,Unoccupied,"(-37.804539939522755, 144.95237190008652)",-37.804539939522755,144.95237190008652
5682,12341S,Unoccupied,"(-37.81003394796344, 144.97945746381384)",-37.81003394796344,144.97945746381384
5419,11789W,Present,"(-37.81123821091168, 144.97543311379718)",-37.81123821091168,144.97543311379718
5744,12399S,Unoccupied,"(-37.81097939951793, 144.9770174279758)",-37.81097939951793,144.9770174279758
3804,C5438,Unoccupied,"(-37.80806758201713, 144.9547247167863)",-37.80806758201713,144.9547247167863
4003,C6042,Unoccupied,"(-37.80612335462928, 144.952092831316)",-37.80612335462928,144.952092831316
4302,C6940,Unoccupied,"(-37.8093356516848, 144.95606244657955)",-37.8093356516848,144.95606244657955
4071,C6180,Unoccupied,"(-37.80369004589621, 144.95252208290106)",-37.80369004589621,144.95252208290106
4367,C7168,Unoccupied,"(-37.807213873238794, 144.9536295182072)",-37.807213873238794,144.9536295182072
5469,11892E,Present,"(-37.81028160890837, 144.97836372102498)",-37.81028160890837,144.97836372102498
4043,C6124,Unoccupied,"(-37.80451697889771, 144.95237596698098)",-37.80451697889771,144.95237596698098
8985,7909W,Unoccupied,"(-37.82410747204598, 144.97020475094172)",-37.82410747204598,144.97020475094172
8986,7911W,Unoccupied,"(-37.82404106735321, 144.97017405148785)",-37.82404106735321,144.97017405148785
5902,C9044,Unoccupied,"(-37.80289673434031, 144.96725077727274)",-37.80289673434031,144.96725077727274
948,C798,Unoccupied,"(-37.81142548592456, 144.96746628857727)",-37.81142548592456,144.96746628857727
8980,7893W,Unoccupied,"(-37.82519546863071, 144.9707016868202)",-37.82519546863071,144.9707016868202
4011,C6060,Unoccupied,"(-37.80588431030715, 144.95213574337413)",-37.80588431030715,144.95213574337413
4277,C6890,Unoccupied,"(-37.809310495093584, 144.9558629671165)",-37.809310495093584,144.9558629671165
4039,C6116,Present,"(-37.80461099949032, 144.9523591001093)",-37.80461099949032,144.9523591001093
4361,C7156,Unoccupied,"(-37.80712310200124, 144.95381396511996)",-37.80712310200124,144.95381396511996
4278,C6892,Unoccupied,"(-37.809285056837695, 144.95580487254955)",-37.809285056837695,144.95580487254955
4281,C6898,Unoccupied,"(-37.80927077090735, 144.95587045729843)",-37.80927077090735,144.95587045729843
3282,5846E,Unoccupied,"(-37.806528893455734, 144.95356284829148)",-37.806528893455734,144.95356284829148
5271,4503W,Unoccupied,"(-37.81181254780275, 144.95349529738968)",-37.81181254780275,144.95349529738968
4296,C6928,Unoccupied,"(-37.80939825401876, 144.9560509085984)",-37.80939825401876,144.9560509085984
4046,C6130,Present,"(-37.80438686504067, 144.95239853304048)",-37.80438686504067,144.95239853304048
3610,7558N,Present,"(-37.806033996519375, 144.95867183356904)",-37.806033996519375,144.95867183356904
3968,C5904,Present,"(-37.80465556333269, 144.9538636192491)",-37.80465556333269,144.9538636192491
4247,C6826,Unoccupied,"(-37.809458940985735, 144.9556238169763)",-37.809458940985735,144.9556238169763
4270,C6876,Unoccupied,"(-37.80936810877179, 144.9557893526814)",-37.80936810877179,144.9557893526814
3381,6205W,Present,"(-37.80632796748596, 144.95099429902604)",-37.80632796748596,144.95099429902604
8975,7883W,Unoccupied,"(-37.82546659947157, 144.9708114635522)",-37.82546659947157,144.9708114635522
6748,6627S,Unoccupied,"(-37.8085392892571, 144.95947791717688)",-37.8085392892571,144.95947791717688
9005,C7834,Unoccupied,"(-37.825317457121926, 144.97092800111432)",-37.825317457121926,144.97092800111432
5524,11981W,Unoccupied,"(-37.81427144972767, 144.98277676593383)",-37.81427144972767,144.98277676593383
4374,C7182,Unoccupied,"(-37.80746605177896, 144.95311195589082)",-37.80746605177896,144.95311195589082
4400,C7234,Unoccupied,"(-37.807887745194996, 144.95224343121595)",-37.807887745194996,144.95224343121595
5357,8895W,Unoccupied,"(-37.824542423653995, 144.96159306132756)",-37.824542423653995,144.96159306132756
4389,C7212,Unoccupied,"(-37.807693797530085, 144.95264287299918)",-37.807693797530085,144.95264287299918
